Customer_Id,Gender,Device_Type,Customer_Login_type,Order_Count,Gender_Conflict_Flag,Device_Conflict_Flag,Login_Type_Conflict_Flag
10000,Male,Web,Member,2,0,0,0
10002,Male,Web,Member,1,0,0,0
10004,Male,Web,Guest,1,0,0,0
10006,Male,Web,Member,2,0,0,0
10013,Male,Web,Member,1,0,0,0
10015,Female,Web,Member,1,0,0,0
10019,Female,Web,Member,1,0,0,0
10023,Female,Web,Member,1,0,0,0
10024,Male,Web,Member,1,0,0,0
10026,Female,Web,Member,1,0,0,0
10027,Male,Web,Member,1,0,0,0
10038,Male,Web,Member,1,0,0,0
10043,Female,Web,Member,1,0,0,0
10044,Female,Web,Member,1,0,0,0
10045,Male,Web,Member,2,0,0,0
10054,Female,Web,Member,1,0,0,0
10056,Female,Web,Member,1,0,0,0
10059,Female,Web,Guest,2,1,0,1
10060,Male,Web,Member,1,0,0,0
10062,Female,Web,Guest,1,0,0,0
10063,Male,Web,Member,2,0,0,0
10065,Male,Web,Member,1,0,0,0
10070,Male,Web,Member,1,0,0,0
10073,Male,Web,Member,1,0,0,0
10077,Male,Web,Member,1,0,0,0
10081,Female,Web,Member,2,1,0,0
10087,Female,Web,Member,3,1,0,0
10088,Male,Web,Member,1,0,0,0
10089,Male,Web,Member,2,0,0,0
10092,Male,Web,Member,1,0,0,0
10095,Male,Web,Member,2,0,0,0
10096,Female,Web,Guest,1,0,0,0
10098,Male,Web,Member,1,0,0,0
10099,Female,Web,Member,1,0,0,0
10100,Male,Web,Member,1,0,0,0
10101,Female,Web,Member,1,0,0,0
10103,Female,Mobile,Guest,2,1,1,1
10106,Male,Web,Member,1,0,0,0
10107,Female,Web,Member,1,0,0,0
10110,Male,Web,Member,1,0,0,0
10114,Female,Web,Member,2,1,0,0
10115,Female,Web,Member,1,0,0,0
10118,Male,Web,Member,2,0,0,0
10119,Male,Web,Member,1,0,0,0
10123,Male,Web,Member,1,0,0,0
10124,Female,Web,Member,1,0,0,0
10126,Female,Web,Member,1,0,0,0
10128,Male,Web,Member,3,1,0,0
10129,Male,Web,Member,1,0,0,0
10130,Female,Web,Member,1,0,0,0
10135,Male,Mobile,Member,1,0,0,0
10136,Male,Web,Member,1,0,0,0
10140,Male,Web,Member,1,0,0,0
10141,Male,Web,Member,1,0,0,0
10144,Male,Web,Member,1,0,0,0
10149,Male,Web,Member,1,0,0,0
10151,Male,Web,Member,1,0,0,0
10157,Male,Web,Guest,1,0,0,0
10158,Female,Web,Member,1,0,0,0
10159,Male,Web,Member,1,0,0,0
10166,Female,Web,Member,2,1,0,0
10168,Male,Web,Member,1,0,0,0
10170,Male,Web,Member,1,0,0,0
10172,Male,Mobile,Member,1,0,0,0
10173,Male,Web,Member,1,0,0,0
10174,Male,Web,Member,1,0,0,0
10175,Female,Web,Member,1,0,0,0
10176,Male,Web,Member,1,0,0,0
10179,Male,Web,Member,1,0,0,0
10180,Male,Web,Member,1,0,0,0
10181,Female,Mobile,Member,2,1,1,0
10182,Male,Web,Member,2,0,0,0
10183,Female,Web,Member,1,0,0,0
10185,Male,Web,Member,1,0,0,0
10190,Female,Web,Member,1,0,0,0
10192,Female,Web,Member,1,0,0,0
10200,Female,Web,Member,1,0,0,0
10201,Female,Web,Guest,2,1,0,1
10207,Female,Web,Member,2,0,0,0
10211,Male,Mobile,Member,1,0,0,0
10213,Female,Web,Member,1,0,0,0
10214,Female,Web,Member,2,0,0,0
10218,Male,Web,Member,1,0,0,0
10224,Male,Web,Member,1,0,0,0
10226,Female,Web,Member,1,0,0,0
10227,Male,Web,Member,1,0,0,0
10228,Female,Web,Member,1,0,0,0
10229,Female,Web,Member,1,0,0,0
10231,Female,Web,Member,1,0,0,0
10235,Male,Web,Member,1,0,0,0
10237,Male,Web,Member,1,0,0,0
10244,Male,Web,Member,2,0,0,0
10246,Male,Web,Member,1,0,0,0
10254,Male,Web,Member,1,0,0,0
10257,Male,Web,Member,1,0,0,0
10260,Male,Web,Member,1,0,0,0
10261,Male,Web,Member,1,0,0,0
10263,Female,Web,Member,1,0,0,0
10265,Male,Web,Member,1,0,0,0
10266,Male,Web,Member,1,0,0,0
10269,Female,Web,Member,1,0,0,0
10270,Male,Web,Member,2,0,0,0
10271,Female,Web,Member,1,0,0,0
10272,Male,Web,Member,1,0,0,0
10275,Female,Web,Member,1,0,0,0
10276,Male,Web,Member,1,0,0,0
10277,Female,Web,Member,1,0,0,0
10280,Male,Web,Member,1,0,0,0
10284,Female,Web,Member,1,0,0,0
10285,Female,Web,Member,1,0,0,0
10286,Male,Web,Member,2,0,0,0
10291,Male,Web,Member,1,0,0,0
10293,Female,Web,Member,1,0,0,0
10294,Male,Web,Member,1,0,0,0
10298,Male,Web,Member,2,0,0,0
10299,Male,Web,Member,1,0,0,0
10301,Male,Mobile,Guest,2,0,1,1
10302,Male,Web,Member,1,0,0,0
10305,Male,Web,Member,1,0,0,0
10308,Female,Web,Member,1,0,0,0
10309,Female,Web,Member,1,0,0,0
10310,Male,Web,Member,1,0,0,0
10318,Male,Web,Member,1,0,0,0
10328,Female,Web,Member,2,1,0,0
10329,Male,Web,Member,1,0,0,0
10330,Female,Web,Member,1,0,0,0
10334,Male,Web,Member,2,0,0,0
10336,Male,Web,Member,1,0,0,0
10337,Female,Web,Member,1,0,0,0
10338,Male,Web,Member,1,0,0,0
10343,Male,Web,Member,1,0,0,0
10345,Male,Web,Member,1,0,0,0
10346,Male,Web,Member,1,0,0,0
10351,Female,Web,Member,1,0,0,0
10352,Female,Web,Member,1,0,0,0
10355,Male,Web,Member,1,0,0,0
10359,Female,Web,Member,1,0,0,0
10360,Male,Web,Member,1,0,0,0
10361,Male,Web,Guest,1,0,0,0
10364,Male,Web,Member,1,0,0,0
10365,Male,Web,Member,1,0,0,0
10367,Male,Web,Member,1,0,0,0
10370,Male,Web,Member,1,0,0,0
10371,Male,Web,Member,1,0,0,0
10373,Male,Web,Member,2,0,0,0
10375,Male,Web,Member,1,0,0,0
10376,Male,Web,Member,1,0,0,0
10382,Male,Web,Member,1,0,0,0
10384,Male,Web,Member,1,0,0,0
10385,Female,Web,Member,1,0,0,0
10386,Female,Web,Member,2,1,0,0
10387,Male,Web,Member,1,0,0,0
10389,Male,Web,Member,1,0,0,0
10395,Male,Web,Member,1,0,0,0
10396,Male,Mobile,Member,1,0,0,0
